ключ;текст
intro;========================================\n             СТАНЦИЯ НОЛЬ\n========================================\nВы очнулись на заброшенной станции.\nЧтобы выбраться, восстановите питание, снимите блокировку\nи доберитесь до выхода.\n\nВведите help, чтобы увидеть команды.
help;КОМАНДЫ (полная / короткая):\n  help / h              - показать это меню\n  look / l              - ещё раз осмотреть текущую комнату\n  north / n             - пойти на север\n  south / s             - пойти на юг\n  east / e              - пойти на восток\n  west / w              - пойти на запад\n  inventory / i         - показать инвентарь и здоровье\n  map / m               - показать карту станции и ваше положение\n  attack / a            - атаковать врага\n  take_<item> / t_<item> - взять предмет, например take_medkit или t_medkit\n  use_<item> / u_<item>  - использовать предмет, например use_fuse или u_fuse\n  quit / q              - выйти из игры\n\nМожно использовать полные или короткие команды. Пробелы не нужны.
victory;Вы открываете внешний люк и выбираетесь на поверхность.\nСтанция остаётся позади.
lock_power;Северный коридор обесточен. Сначала нужно запустить реактор.
lock_keycard;Дверь серверной открывается только картой доступа.
lock_lockdown;Путь в командный центр заблокирован системой безопасности.
lock_elevator;Для запуска лифта нужен ключ и снятая блокировка.
lock_warden;Сторожевой модуль не даёт пройти к выходу.
reactor_on;Вы устанавливаете предохранитель. Реактор запускается.
lockdown_off;Терминал принимает токен. Блокировка станции отключена.
